District/School IRN,District/School Name,School Year,Org Type,Core Curriculum/Intervention,Reported Grades,Status,Reported Material Type,DEW Approved Material Type,DEW Approved Grades
049973,Woodridge Local,2024–2025,Public District,"MyView Literacy (Savvas Learning Company, formerly Pearson)",KG - 12,Implemented,ELA Core,ELA Core,KG - 05
049973,Woodridge Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),01 - 04,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
049577,Woodmore Local,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
049577,Woodmore Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 05,Implemented,Reading Intervention,N/A,N/A
049577,Woodmore Local,2024–2025,Public District,Wonders 2023 (McGraw Hill),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
044081,Winton Woods City,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
044081,Winton Woods City,2024–2025,Public District,Lexia Core 5 Reading (Lexia),07 - 12,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
044081,Winton Woods City,2024–2025,Public District,Other published instr materials incl on Dept approved list,05 - 06,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
044081,Winton Woods City,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 06,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
044081,Winton Woods City,2024–2025,Public District,Other published instr materials not on Dept list,KG - 04,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
044081,Winton Woods City,2024–2025,Public District,Other published instr materials not on Dept list,PS - KG,Implemented,ELA Core,N/A,N/A
044081,Winton Woods City,2024–2025,Public District,Other published instr materials not on Dept list,07 - 08,Implemented,Reading Intervention,N/A,N/A
000546,Winterfield Venture Academy,2024–2025,Community School,Lexia Core 5 Reading (Lexia),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
000546,Winterfield Venture Academy,2024–2025,Community School,Other published instr materials not on Dept list,03 - 08,Implemented,Reading Intervention,N/A,N/A
045666,Windham Exempted Village,2024–2025,Public District,95 Phonics Core Program (95 Percent Group),KG - 04,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 02
045666,Windham Exempted Village,2024–2025,Public District,95 Phonics Core Program (95 Percent Group),KG - 04,Implemented,ELA Core,ELA Core,KG - 02
045666,Windham Exempted Village,2024–2025,Public District,Fishtank Plus ELA K-2 2021 (Fishtank Learning),KG - 04,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 02
045666,Windham Exempted Village,2024–2025,Public District,Frog Street Threes and/or Frog Street PreK (FrogStreet),PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
045666,Windham Exempted Village,2024–2025,Public District,Other published instr materials not on Dept list,05 - 12,Implemented,Reading Intervention,N/A,N/A
045112,Wilmington City,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
045112,Wilmington City,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
045112,Wilmington City,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),06 - 08,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045112,Wilmington City,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045104,Willoughby-Eastlake City,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
045104,Willoughby-Eastlake City,2024–2025,Public District,Fundations (Wilson Language Training),06 - 12,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045104,Willoughby-Eastlake City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 08,Implemented,Reading Intervention,N/A,N/A
045104,Willoughby-Eastlake City,2024–2025,Public District,Ready to Advance (Benchmark Education),PS - PS,Implemented,ELA Core,PreK Core,PS - PS
046367,Williamsburg Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,PS - 05,Implemented,Reading Intervention,N/A,N/A
046367,Williamsburg Local,2024–2025,Public District,Wonders 2023 (McGraw Hill),PS - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
045096,Willard City,2024–2025,Public District,95 Phonics Core Program (95 Percent Group),KG - 05,Implemented,ELA Core,ELA Core,KG - 02
045096,Willard City,2024–2025,Public District,Other published instr materials incl on Dept approved list,09 - 12,Implemented,Reading Intervention,N/A,N/A
045096,Willard City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 05,Implemented,Reading Intervention,N/A,N/A
000222,Wildwood Environmental Academy,2024–2025,Community School,Amplify CKLA K-2 Skills (Amplify),KG - 02,Implemented,ELA Core,ELA Core,KG - 02
000222,Wildwood Environmental Academy,2024–2025,Community School,ARC Core (American Reading Company),03 - 08,Implemented,ELA Core,ELA Core,KG - 05
000222,Wildwood Environmental Academy,2024–2025,Community School,Foundations A-Z (Learning A-Z),KG - 05,Implemented,Reading Intervention,ELA Core,KG - 02
000222,Wildwood Environmental Academy,2024–2025,Community School,Fundations (Wilson Language Training),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045088,Wickliffe City,2024–2025,Public District,Lexia Core 5 Reading (Lexia),KG - 06,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045088,Wickliffe City,2024–2025,Public District,Locally created instruction,07 - 12,Implemented,ELA Core,N/A,N/A
045088,Wickliffe City,2024–2025,Public District,Other published instr materials not on Dept list,PS - PS,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
045088,Wickliffe City,2024–2025,Public District,Other published instr materials not on Dept list,KG - 06,Implemented,ELA Core,N/A,N/A
045088,Wickliffe City,2024–2025,Public District,Other published instr materials not on Dept list,07 - 12,Implemented,Reading Intervention,N/A,N/A
045088,Wickliffe City,2024–2025,Public District,Other published instr materials not on Dept list,KG - 06,Implemented,Reading Intervention,N/A,N/A
000509,Whitehall Preparatory And Fitness Academy,2024–2025,Community School,HMH Into Reading 2020 (Houghton Mifflin Harcourt),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
045070,Whitehall City,2024–2025,Public District,HD Word (Really Great Reading),03 - 03,Implemented,ELA Core,Both ELA Core and Reading Intervention,02 - 02
045070,Whitehall City,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),01 - 02,Implemented,ELA Core,Both ELA Core and Reading Intervention,KG - 02
045070,Whitehall City,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
049668,Wheelersburg Local,2024–2025,Public District,Amplify CKLA K-2 Skills (Amplify),KG - 02,Implemented,ELA Core,ELA Core,KG - 02
049668,Wheelersburg Local,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 02,Implemented,ELA Core,ELA Core,KG - 05
049668,Wheelersburg Local,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,ELA Core,PreK Core,PS - PS
049668,Wheelersburg Local,2024–2025,Public District,Fundations (Wilson Language Training),PS - PS,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
049668,Wheelersburg Local,2024–2025,Public District,"MyView Literacy (Savvas Learning Company, formerly Pearson)",03 - 05,Implemented,ELA Core,ELA Core,KG - 05
049668,Wheelersburg Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,03 - 05,Implemented,Reading Intervention,N/A,N/A
049668,Wheelersburg Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 03,Implemented,Reading Intervention,N/A,N/A
049668,Wheelersburg Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 08,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
015741,Westwood Preparatory Academy,2024–2025,Community School,Other published instr materials incl on Dept approved list,KG - 12,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
045062,Westlake City,2024–2025,Public District,Foundations A-Z (Learning A-Z),05 - 06,Implemented,Reading Intervention,ELA Core,KG - 02
045062,Westlake City,2024–2025,Public District,Fundations (Wilson Language Training),KG - 03,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045062,Westlake City,2024–2025,Public District,Other published instr materials incl on Dept approved list,02 - 12,Implemented,Reading Intervention,N/A,N/A
045062,Westlake City,2024–2025,Public District,Other published instr materials incl on Dept approved list,04 - 12,Implemented,Reading Intervention,N/A,N/A
045062,Westlake City,2024–2025,Public District,Other published instr materials incl on Dept approved list,07 - 12,Implemented,Reading Intervention,N/A,N/A
045062,Westlake City,2024–2025,Public District,World of Wonders (McGraw Hill),PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
020077,Westlake Academy,2024–2025,Community School,Amplify CKLA K-2 Skills (Amplify),KG - 02,Implemented,ELA Core,ELA Core,KG - 02
049106,Westfall Local,2024–2025,Public District,Lexia Core 5 Reading (Lexia),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
049106,Westfall Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 12,Implemented,ELA Core,N/A,N/A
049106,Westfall Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 12,Implemented,Reading Intervention,N/A,N/A
049106,Westfall Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 02,Implemented,ELA Core,Both ELA Core and Reading Intervention,KG - 02
049106,Westfall Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),06 - 08,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
049106,Westfall Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
049106,Westfall Local,2024–2025,Public District,Wit & Wisdom (Great Minds),KG - 05,Implemented,ELA Core,ELA Core,03 - 05
045047,Westerville City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 05,Implemented,Reading Intervention,N/A,N/A
045047,Westerville City,2024–2025,Public District,Wit & Wisdom (Great Minds),KG - 05,Implemented,ELA Core,ELA Core,03 - 05
019511,Western Toledo Preparatory Academy,2024–2025,Community School,Amplify CKLA K-2 Skills (Amplify),KG - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 02
019511,Western Toledo Preparatory Academy,2024–2025,Community School,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
047746,Western Reserve Local,2024–2025,Public District,Wonders 2020 (McGraw Hill),03 - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
047746,Western Reserve Local,2024–2025,Public District,Wonders 2020 (McGraw Hill),KG - 02,Implemented,ELA Core,ELA Core,KG - 05
048397,Western Reserve Local,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
048397,Western Reserve Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 12,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
049155,Western Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 06,Implemented,Reading Intervention,N/A,N/A
049155,Western Local,2024–2025,Public District,Wonders 2023 (McGraw Hill),KG - 06,Implemented,ELA Core,ELA Core,KG - 05
046060,Western Brown Local,2024–2025,Public District,95 Phonics Core Program (95 Percent Group),KG - 03,Implemented,Reading Intervention,ELA Core,KG - 02
046060,Western Brown Local,2024–2025,Public District,Fundations (Wilson Language Training),KG - 03,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
046060,Western Brown Local,2024–2025,Public District,HMH Into Reading 2020 (Houghton Mifflin Harcourt),04 - 06,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
046060,Western Brown Local,2024–2025,Public District,HMH Into Reading 2020 (Houghton Mifflin Harcourt),KG - 03,Implemented,ELA Core,ELA Core,KG - 05
014189,West Park Bilingual Academy,2024–2025,Community School,Fundations (Wilson Language Training),KG - 03,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
014189,West Park Bilingual Academy,2024–2025,Community School,HMH Into Reading 2020 (Houghton Mifflin Harcourt),KG - 06,Implemented,ELA Core,ELA Core,KG - 05
048884,West Muskingum Local,2024–2025,Public District,"Reading Horizons Discovery (HEC Software, Inc.)",KG - 04,Implemented,ELA Core,ELA Core,KG - 02
048884,West Muskingum Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 04,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
046219,West Liberty-Salem Local,2024–2025,Public District,95 Phonics Core Program (95 Percent Group),02 - 05,Implemented,ELA Core,ELA Core,KG - 02
046219,West Liberty-Salem Local,2024–2025,Public District,Amplify CKLA K-2 Skills (Amplify),KG - 01,Implemented,ELA Core,ELA Core,KG - 02
046219,West Liberty-Salem Local,2024–2025,Public District,Fishtank Plus ELA 2021 (Fishtank Learning),KG - 05,Implemented,ELA Core,ELA Core,03 - 05
046219,West Liberty-Salem Local,2024–2025,Public District,Lexia Core 5 Reading (Lexia),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
046219,West Liberty-Salem Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 12,Implemented,Reading Intervention,N/A,N/A
047696,West Holmes Local,2024–2025,Public District,Fundations (Wilson Language Training),KG - 12,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
047696,West Holmes Local,2024–2025,Public District,Wonders 2023 (McGraw Hill),03 - 05,Implemented,ELA Core,ELA Core,KG - 05
012043,West Cleveland Drop Back In Dba Frederick Douglass High Scho,2024–2025,Community School,Other published instr materials incl on Dept approved list,09 - 12,Implemented,Reading Intervention,N/A,N/A
046359,West Clermont Local,2024–2025,Public District,Benchmark Advance or Literacy (Benchmark Education),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
046359,West Clermont Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 12,Implemented,Reading Intervention,N/A,N/A
046359,West Clermont Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 02,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
046359,West Clermont Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),06 - 08,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045054,West Carrollton City,2024–2025,Public District,95 Phonics Core Program (95 Percent Group),KG - 06,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 02
045054,West Carrollton City,2024–2025,Public District,Benchmark Advance or Literacy (Benchmark Education),KG - 06,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
045054,West Carrollton City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 02,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
045054,West Carrollton City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 04,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
048389,West Branch Local,2024–2025,Public District,Fundations (Wilson Language Training),KG - 02,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
048389,West Branch Local,2024–2025,Public District,High Scope Preschool Curriculum (HighScope),PS - PS,Implemented,ELA Core,PreK Core,PS - PS
048389,West Branch Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,03 - 08,Implemented,Reading Intervention,N/A,N/A
048389,West Branch Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),03 - 03,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
048389,West Branch Local,2024–2025,Public District,Wonders 2023 (McGraw Hill),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
045039,Wellsville Local,2024–2025,Public District,Frog Street Threes and/or Frog Street PreK (FrogStreet),PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
045039,Wellsville Local,2024–2025,Public District,HMH Into Reading 2020 (Houghton Mifflin Harcourt),KG - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
045021,Wellston City,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,ELA Core,PreK Core,PS - PS
045021,Wellston City,2024–2025,Public District,"From Phonics to Reading (William H. Sadlier, Inc)",06 - 08,Implemented,Reading Intervention,ELA Core,KG - 02
045021,Wellston City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 05,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
045021,Wellston City,2024–2025,Public District,Other published instr materials incl on Dept approved list,03 - 12,Implemented,Reading Intervention,N/A,N/A
045021,Wellston City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 02,Implemented,Reading Intervention,N/A,N/A
045658,Wellington Exempted Village,2024–2025,Public District,Open Court Reading 2016/2018 (McGraw Hill),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
045658,Wellington Exempted Village,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 12,Implemented,Reading Intervention,N/A,N/A
045658,Wellington Exempted Village,2024–2025,Public District,Other published instr materials not on Dept list,KG - 05,Implemented,ELA Core,N/A,N/A
045658,Wellington Exempted Village,2024–2025,Public District,Other published instr materials not on Dept list,KG - 04,Implemented,Reading Intervention,N/A,N/A
045658,Wellington Exempted Village,2024–2025,Public District,Other published instr materials not on Dept list,KG - 05,Implemented,Reading Intervention,N/A,N/A
045658,Wellington Exempted Village,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),04 - 08,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
050252,Weathersfield Local,2024–2025,Public District,High Scope Preschool Curriculum (HighScope),PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
050252,Weathersfield Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,07 - 12,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
050252,Weathersfield Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 06,Implemented,Reading Intervention,N/A,N/A
050252,Weathersfield Local,2024–2025,Public District,Other published instr materials not on Dept list,03 - 03,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
050252,Weathersfield Local,2024–2025,Public District,Wonders 2023 (McGraw Hill),KG - 06,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
045971,Waynesfield-Goshen Local,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
045971,Waynesfield-Goshen Local,2024–2025,Public District,Other published instr materials not on Dept list,06 - 12,Implemented,Reading Intervention,N/A,N/A
050583,Waynedale Local,2024–2025,Public District,Fundations (Wilson Language Training),PS - 03,Implemented,ELA Core,Both ELA Core and Reading Intervention,KG - 02
050583,Waynedale Local,2024–2025,Public District,Other published instr materials not on Dept list,PS - 03,Implemented,ELA Core,N/A,N/A
050583,Waynedale Local,2024–2025,Public District,Other published instr materials not on Dept list,02 - 12,Implemented,Reading Intervention,N/A,N/A
050583,Waynedale Local,2024–2025,Public District,Other published instr materials not on Dept list,04 - 12,Implemented,Reading Intervention,N/A,N/A
050583,Waynedale Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),PS - 12,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
